date,sm_title,sm_description
2020-03-04,1. primer,Prvi potrjen primer: turist na povratku iz Maroka.
2020-03-06,DSO,Prepoved obiskov v domovih starejsih obcanov_ potrjena okuzba zdravnika v ZD Metlika.
2020-03-10,100 ljudi,Prepoved prireditev zaprtega tipa nad 100 ljudi
2020-03-12,Epidemija,Razglas epidemije
2020-03-14,Testiranje,Testiranje: samo hospitalizirani in zdr.delavci.
2020-03-16,Prevoz,Prepoved javnega prevoza in napoved prepovedi zracnega prometa.
2020-03-18,HR in AUT,Slovenija zaprla manse mejne prehode z Hrvasko.Avstrija zaprla manjse mejne prehode.Prepoved zracnega prometa.
2020-03-20,Zbiranje,Prepoved zbiranja na javnih mestih.
2020-03-30,Trggovine in Obcine,Trgovine za ranljive skupine med 8-10h in Prepoved gibanja izven obcine prebivalisca.
2020-04-04,Trg.ran.skup,Trgovine od 8-10 in zadnjo uro izkljucno za ranljive skupine (invalidi upokojenci nosecnice)
2020-04-12,Tujina-7dni,Obvezna 7 dnevna karantena pri prihodu iz tujine
2020-04-15,Testiranje,Testiranje vsi z simptomi (ce je mogoce)
2020-04-18,Vikendi,Sproscanje prepovedi gibanja in pojasnila glede omejitev gibanja med obcinami (vikendi).
2020-04-20,Spr.dejavnosti,Sproscanje nekaterih dejavnosti (gradbeno. servisi. sport na prostem...) linijski prevozi. Sportni objekti
2020-04-25,Spr.avtopralnice,Sprostitev dejavnosti: avtopralnice zavarovalnistvo
2020-04-30,Obcine,Sprostitev gibanja izven obcine prebivalisca.
2020-05-04,Trznice,Trznice. strezba na terasah. trgovine do 400m2. frizerski in kozmeticni saloni.
2020-05-06,Vr.sport,Sprostitev ukrepov na podrocju vrhunskega sporta.
2020-05-09,Zdravstvo,Sprostitev opravljanja vseh zdravstvenih in zobozdravstvenih storitev na vseh ravneh.
2020-05-11,Prevoz,Sprostitev javnega prevoza
2020-05-15,Epidemija,Preklic epidemije
2020-05-18,sole,Sprostitev OS(prva triada) in SS (zadnji letnik)
2020-05-26,Karantena,14 dnevna karantena za tujce iz EU (z izjemami) in tretjih drzav.
2020-06-01,Hoteli ter sole ,Sprostitev vseh nastanitvenih objektov in Sprostitev Os (4-5. razred)
2020-06-08,Meje,Sprostitev: prehodi izven kontrolnih tock (IT A H)
2020-06-15,Prireditve,Sprostitev: zbiranje in prireditve do 500 ljudi. Dovoljeni gledalci na sportnih prireditvah.
2020-06-18,Karantena,14 dnevna karantena z manj izjemami (predvsem BIH Srbija Kosovo)
2020-06-30,Zbiranje-50,Omejitev zbiranja do 50 ljudi. Dovoljeno zbiranje do 500 ljudi za dogodke brez nastopajocih z dovoljenjem NIJZ.
2020-07-09,Zbiranje-10,Omejitev zbiranja na 10 ljudi.
2020-08-17,#OstaniZdrav,#OstaniZdrav aplikacija na voljo za Android
2020-08-21,Hrvaska,Obvezna karantena pri prehodu iz Hrvaske
2020-09-01,sole,Vse sole zasnejo z normalnim obratovanjem
2020-09-10,Testiranje,Testiranje: mlajsi otroci (do konca prve triade) se ne bodo vec testirali samo ob simptomih prehlada.
2020-09-13,10 dni,Obvezna karantena skrajsana na 10 dni
2020-09-19,Maske,Obvezne maske v vseh zaprtih javnih prostorih in zunaj pri manj kot 2m razdalje. Gostinski obrati odprti do 22:30.
2020-09-28,Test,Negativen test ali 10-dnevna karantena ob vstopu iz drzav na rdecem ali oranznem seznamu
2020-10-04,Maske,Omilitev nosnje mask za sole
2020-10-07,Razprsilniki,Obvezni razprsilniki v vecstanovanjskih stavbah
2020-10-09,10 oseb,Omejitev zbiranja na 10 oseb. Dodatne omejitve za dejavnosti v zaprtih prostorih (20m2 na osebo).
2020-10-16,Regije,Omejitve za rdece regije: Omejeno gibanje izven regije. Obvezna uporaba mask zunaj.
2020-10-19,Epidemija,Vlada je razglasila epidemijo za 30 dni. ,Omejitev gibanja med 21:00-6:00 in prehodi med regijami. Dovoljeno zbiranje do 6 oseb. Prepoved vseh prireditev. 
2020-10-22,sport,Prepoved sportnih dejavnosti razen najvisje kategorije. Prepoved nocnih klubov.
2020-10-24,Gostilne,Zaprtje gostinskih lokalov in kozmeticnih salonov. Zaprti dijaski in studentski domovi. Zmanjsan javni prevoz.
2020-10-27,Obcine,Prepoved gibanja izven obcine prebivalisca.Vrtci samo za nujno varstvo.
2020-10-31,Knjiznice,Dodane izjeme glede opravljanja storitve 
